application_id,applicant_name,email,phone_number,university,degree,cgpa,submission_time,ip_address,resume_quality_score,application_source,previous_applications,submission_hour,submission_day,is_weekend,submissions_per_ip,is_repeated_applicant,anomaly_iforest,kmeans_cluster,anomaly_kmeans,final_anomaly,alert,pca1,pca2,email_dup,phone_dup,resume_cgpa_ratio,ip_submission_count
1,Kevin Johnson,miranda66@example.net,(702)327-1481x38254,MIT,BS AI,2.11,2025-05-08 23:54:20,177.141.217.209,96,Mobile,3,23,3,0,1,1,0,4,False,0,✅ Normal,-0.290243580359509,1.02062943699194,0,0,45.4976087689058,1
2,Victoria Garcia,clarkraymond@example.org,001-434-251-3282x82573,FAST,BSc CS,2.35,2025-05-10 17:03:50,162.54.14.205,58,Desktop,3,17,5,1,1,1,0,2,False,0,✅ Normal,1.92003450751147,1.24550346757162,0,0,24.6808405613444,1
3,Thomas Pace,claudia71@example.net,3817302531,Harvard,BS IT,3.75,2025-04-22 06:13:48,209.103.2.201,90,Desktop,2,6,1,0,1,0,0,1,False,0,✅ Normal,-1.25832874551004,-1.61666385580108,0,0,23.9999936000017,1
4,Gregory Guzman,thompsonmichelle@example.net,930-710-0007x1060,FAST,BS IT,2.32,2025-05-02 20:43:20,1.58.186.137,66,Desktop,0,20,4,0,1,0,0,3,False,0,✅ Normal,0.0120468043343438,0.552050477826106,0,0,28.4482635998864,1
5,Amanda Reid,hollydelgado@example.net,001-958-933-5749x351,NUST,BBA,3.71,2025-05-15 02:44:26,68.194.157.0,92,Desktop,2,2,3,0,1,0,0,1,False,0,✅ Normal,-0.623551578270975,-2.03270365566259,0,0,24.7978369817151,1
6,Matthew Kelley,charlesmcknight@example.org,001-553-345-5144,FAST,BSc CS,3.02,2025-05-13 21:12:33,194.162.16.124,100,Desktop,4,21,1,0,1,1,0,4,False,0,✅ Normal,-1.03933557880782,0.453375066660311,0,0,33.1125718170292,1
7,Kelly Pollard,nsimpson@example.org,(519)800-4150x435,LUMS,BBA,2.78,2025-05-09 22:50:41,135.138.188.81,62,Desktop,1,22,4,0,1,0,0,3,False,0,✅ Normal,0.0260579093100754,0.804037309872951,0,0,22.3021502510251,1
8,Jonathan Zamora,smithkenneth@example.org,6126284425,Stanford,BE SE,3.29,2025-05-05 00:26:50,103.189.248.148,62,Mobile,4,0,0,0,1,1,0,1,False,0,✅ Normal,-1.56544665783722,-0.371703799596264,0,0,18.8449790744744,1
9,Matthew Murray,michaelfletcher@example.org,3023974266,FAST,BS AI,3.65,2025-05-13 10:20:17,163.248.151.151,82,Desktop,2,10,1,0,1,0,0,1,False,0,✅ Normal,-1.19567944170845,-0.98817664573499,0,0,22.4657472696583,1
10,Anna Hood,williamskathryn@example.net,577-302-0045x885,MIT,BS IT,3.71,2025-05-07 16:13:12,202.98.83.128,96,Desktop,4,16,2,0,1,1,0,4,False,0,✅ Normal,-0.789452267918159,-0.362756808341334,0,0,25.8760038070071,1
11,Joshua Kemp,lewisanthony@example.org,284.453.9425x415,MIT,BS AI,2.03,2025-05-18 14:45:06,165.55.127.7,73,Mobile,3,14,6,1,1,1,0,2,False,0,✅ Normal,2.22212750920184,0.769898152550141,0,0,35.9605734184367,1
12,Monica Ochoa,lauren70@example.org,+1-384-465-8223,Harvard,BS IT,3.23,2025-04-30 21:34:00,199.30.143.214,90,Mobile,1,21,2,0,1,0,0,4,False,0,✅ Normal,-0.735914470776089,-0.333323560431357,0,0,27.8637684632296,1
13,Ryan Owens,teresa23@example.net,+1-284-771-6156x379,MIT,BE SE,3.06,2025-05-14 19:03:55,174.115.182.210,60,Desktop,0,19,2,0,1,0,0,3,False,0,✅ Normal,-0.713194944790069,0.173083176743496,0,0,19.6078367294651,1
14,Sean Hess,alexis92@example.com,+1-646-296-0295x6542,Stanford,BBA,3.39,2025-04-27 01:19:41,169.3.90.216,98,Mobile,0,1,6,1,1,0,1,2,True,1,⚠️ Suspicious,1.91847524997079,-2.86865986816734,0,0,28.9085460446767,1
15,James Dean,debra55@example.org,677.767.7550x47116,Stanford,BS AI,2.18,2025-05-03 23:25:38,209.207.152.156,58,Desktop,2,23,5,1,1,0,0,2,False,0,✅ Normal,1.98289244667861,1.56457930536057,0,0,26.6054923828017,1
16,Patricia Oneill,xboyer@example.net,216.460.3335x259,MIT,BS AI,3.64,2025-04-27 01:52:41,43.135.54.11,74,Mobile,1,1,6,1,1,0,0,2,False,0,✅ Normal,1.95491243562674,-2.06746450149324,0,0,20.3296647445976,1
