application_id,applicant_name,email,phone_number,university,degree,cgpa,submission_time,ip_address,resume_quality_score,application_source,previous_applications,submission_hour,submission_day,is_weekend,submissions_per_ip,is_repeated_applicant,anomaly_iforest,kmeans_cluster,anomaly_kmeans,final_anomaly,alert,pca1,pca2,email_dup,phone_dup,resume_cgpa_ratio,ip_submission_count,combined_alert,alert_level
14,Sean Hess,alexis92@example.com,+1-646-296-0295x6542,Stanford,BBA,3.39,2025-04-27 01:19:41,169.3.90.216,98,Mobile,0,1,6,1,1,0,1,1,0,1,⚠️ Suspicious,1.9184752499707811,-2.8686598681673328,0,0,28.9085460446767,1,1,Medium
34,Timothy Norris,ubrown@example.org,781.526.0768x758,Harvard,BS AI,3.83,2025-05-17 02:47:57,217.40.89.4,48,Desktop,4,2,5,1,1,1,1,1,0,0,✅ Normal,1.6958014605684981,-0.4605701328382105,1,0,12.5326338034899,1,1,Medium
45,Brett Jackson,williamevans@example.com,217-550-2259,Harvard,BE SE,2.4,2025-05-19 23:58:27,221.77.172.75,40,Mobile,1,23,0,0,1,0,1,2,0,0,✅ Normal,-1.264201748053688,1.8911177130119219,0,0,16.6666597222251,1,1,Medium
64,Mathew Smith,james32@example.com,983.993.1874x3256,MIT,BS AI,2.03,2025-05-04 22:16:24,214.128.96.114,40,Mobile,5,22,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.388941561404698,2.96291464923722,0,0,19.7044237909242,1,1,Medium
65,Christina Carson,gzhang@example.org,+1-234-928-6986x70725,MIT,BS IT,2.05,2025-05-17 01:20:07,66.193.167.22,81,Desktop,0,1,5,1,1,0,1,1,0,1,⚠️ Suspicious,1.6860024637010638,-1.4127616642294138,0,0,39.5121758477191,1,1,Medium
87,Janice Foley,gomezbobby@example.org,422.796.9703,FAST,BS IT,2.26,2025-04-21 21:28:41,51.248.64.101,95,Mobile,0,21,0,0,1,0,1,2,0,0,✅ Normal,-1.3785127407586255,-0.03154333051194114,0,0,42.035379630363,1,1,Medium
127,Tyler Howard,dustin58@example.net,270-286-0811x6862,Stanford,BS IT,3.96,2025-05-10 23:32:28,164.205.41.190,41,Desktop,3,23,5,1,1,1,1,1,0,1,⚠️ Suspicious,1.9165873490789258,1.087189065528197,0,0,10.3535327390069,1,1,Medium
158,Stephanie Goodwin,hnelson@example.net,+1-622-824-4756,Harvard,BS IT,2.3,2025-05-10 22:56:39,154.130.114.48,96,Mobile,1,22,5,1,1,0,1,1,0,0,✅ Normal,1.8910449232498017,0.022730729394691215,0,0,41.7391122873425,1,1,Medium
179,Larry Lee,alexis80@example.com,001-355-983-6282x66308,Stanford,BSc CS,3.96,2025-05-17 22:53:27,210.54.206.163,50,Desktop,4,22,5,1,1,1,1,1,0,1,⚠️ Suspicious,1.9045064628243549,1.0472621895267586,0,0,12.6262594378133,1,1,Medium
243,Joy Nelson,seanbrooks@example.com,+1-212-453-0779,LUMS,BBA,3.59,2025-04-27 22:46:50,43.164.244.57,47,Mobile,5,22,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.2844030950515744,1.6631469026918941,0,0,13.0919183587971,1,1,Medium
273,Mariah Hernandez,fosternicole@example.org,9257405461,NUST,BS AI,2.11,2025-04-26 01:35:44,150.149.247.150,68,Mobile,5,1,5,1,1,1,1,1,0,1,⚠️ Suspicious,1.76920082455146,0.4023369567535531,0,0,32.2274728779749,1,1,Medium
276,Allison Romero,waltersdaniel@example.net,809.625.7448x07332,NUST,BBA,2.01,2025-05-04 23:24:09,138.105.24.78,45,Mobile,3,23,6,1,1,1,1,1,0,1,⚠️ Suspicious,2.3667244467571584,2.3225304152070647,0,0,22.3880485631599,1,1,Medium
341,Kevin Green,paula81@example.com,(834)299-2365,FAST,BSc CS,2.95,2025-04-29 00:17:46,144.111.9.38,99,Mobile,0,0,1,0,1,0,1,2,0,0,✅ Normal,-1.3170937247060595,-2.3993219192696857,0,0,33.5593106578608,1,1,Medium
344,Nicole Orozco,rpatel@example.com,(507)911-7456,FAST,BS IT,3.93,2025-05-04 23:41:57,49.34.173.223,81,Desktop,2,23,6,1,1,0,1,1,0,0,✅ Normal,2.181271444182053,-0.35077654393923563,0,0,20.6106817784525,1,1,Medium
364,Philip Richardson,sherry15@example.com,8109113927,FAST,BS AI,3.7,2025-04-27 20:25:27,83.201.232.149,50,Desktop,5,20,6,1,1,1,1,1,0,0,✅ Normal,2.251077069139272,1.334867083941843,0,0,13.5135098612136,1,1,Medium
401,James Patterson,smithanthony@example.com,238.645.3409x89788,Harvard,BE SE,3.89,2025-04-26 01:36:10,206.177.50.211,57,Mobile,5,1,5,1,1,1,1,1,0,1,⚠️ Suspicious,1.6801282081189666,-0.5428612889173567,0,0,14.6529525313747,1,1,Medium
430,James Riley DDS,donna69@example.com,001-445-941-3419x500,NUST,BE SE,3.65,2025-05-19 21:29:48,97.108.184.202,43,Mobile,0,21,0,0,1,0,1,2,0,0,✅ Normal,-1.37900429740232,0.46007696511112367,0,0,11.7808186901867,1,1,Medium
488,Rhonda Moreno,igutierrez@example.net,(306)686-5044x2339,Harvard,BE SE,2.11,2025-05-17 23:28:16,170.180.205.64,43,Desktop,2,23,5,1,1,0,1,1,0,1,⚠️ Suspicious,2.0109484233245203,2.0389252941951335,0,0,20.3791372610724,1,1,Medium
495,Ryan Richardson,tuckermichael@example.net,675-402-4231,FAST,BBA,2.61,2025-05-10 02:30:07,154.250.120.153,99,Desktop,1,2,5,1,1,0,1,1,0,0,✅ Normal,1.6480409413136432,-1.9374133120103203,0,0,37.9310199498008,1,1,Medium
